#header line: GPU processors,avg,error_bar,run1,run2,run3
25.72652822666667,0.03543374000000021,25.70189033,25.77275781,25.70493654
6.521111049999999,0.12288255500000034,6.43796054,6.44164696,6.68372565
3.2228477766666668,0.0026043550000001137,3.22067456,3.22588327,3.2219855
2.2017788966666667,0.05140367999999995,2.17761801,2.26526302,2.16245566
1.64485833,0.0008150599999999786,1.64517295,1.64388596,1.64551608
1.3315738766666667,0.006501245000000044,1.32481842,1.33782091,1.3320823
1.1356270633333332,0.020369175000000017,1.12083787,1.16157622,1.1244671
1.0471275633333335,0.018298185000000022,1.03093012,1.06752649,1.04292608
0.9804843133333333,0.03369767499999998,0.97161009,0.95122375,1.0186191
0.85541899,0.01624482500000002,0.84004339,0.85368054,0.87253304
0.7952772499999999,0.02590484500000001,0.82864055,0.78036034,0.77683086
0.8248017733333333,0.011127405000000035,0.81430673,0.82353705,0.83656154
0.7263940033333333,0.024930814999999995,0.70573005,0.71786028,0.75559168
